condition,task_type,trial,agent,completion,build,tests_pass,no_regression,file_discipline,spec_match,duration_s,total
messaging,simple,7,b,1,1,1,1,1,1,53,6
messaging,simple,8,a,1,1,1,1,1,1,58,6
messaging,simple,8,b,1,1,1,1,1,1,44,6
messaging,simple,9,a,1,1,1,1,1,1,52,6
messaging,simple,9,b,1,1,1,1,1,1,58,6
no-coord,complex,1,a,1,1,1,1,1,1,50,6
no-coord,complex,1,b,1,1,1,1,1,1,103,6
no-coord,complex,10,a,1,1,1,1,1,1,32,6
no-coord,complex,10,b,1,1,1,1,1,1,115,6
no-coord,complex,2,a,1,1,1,1,1,1,50,6
no-coord,complex,2,b,1,1,1,1,1,1,123,6
no-coord,complex,3,a,1,1,1,1,1,1,49,6
no-coord,complex,3,b,1,1,1,1,1,1,273,6
no-coord,complex,4,a,1,1,1,1,1,1,58,6
no-coord,complex,4,b,1,1,1,1,1,1,251,6
no-coord,complex,5,a,1,1,1,1,1,1,60,6
no-coord,complex,5,b,1,1,1,1,1,1,77,6
no-coord,complex,6,a,1,1,1,1,1,1,51,6
no-coord,complex,6,b,1,1,1,1,1,1,48,6
no-coord,complex,7,a,1,1,1,1,1,1,55,6
no-coord,complex,7,b,1,1,1,1,1,1,209,6
no-coord,complex,8,a,1,1,1,1,1,1,51,6
no-coord,complex,8,b,1,1,1,1,1,1,67,6
no-coord,complex,9,a,1,1,1,1,1,1,48,6
no-coord,complex,9,b,1,1,1,1,1,1,103,6
no-coord,simple,1,a,1,1,1,1,1,1,41,6
no-coord,simple,1,b,1,1,1,1,1,1,49,6
no-coord,simple,10,a,1,1,1,1,1,1,38,6
no-coord,simple,10,b,1,1,1,1,1,1,39,6
no-coord,simple,2,a,1,1,1,1,1,1,112,6
no-coord,simple,2,b,1,1,1,1,1,1,106,6
no-coord,simple,3,a,1,1,1,1,1,1,115,6
no-coord,simple,3,b,1,1,1,1,1,1,111,6
no-coord,simple,4,a,1,1,1,1,1,1,74,6
no-coord,simple,4,b,1,1,1,1,1,1,57,6
no-coord,simple,5,a,1,1,1,1,1,1,34,6
no-coord,simple,5,b,1,1,1,1,1,1,44,6
no-coord,simple,6,a,1,1,1,1,1,1,38,6
no-coord,simple,6,b,1,1,1,1,1,1,35,6
no-coord,simple,7,a,1,1,1,1,1,1,33,6
no-coord,simple,7,b,1,1,1,1,1,1,38,6
no-coord,simple,8,a,1,1,1,1,1,1,64,6
no-coord,simple,8,b,1,1,1,1,1,1,35,6
no-coord,simple,9,a,1,1,1,1,1,1,37,6
no-coord,simple,9,b,1,1,1,1,1,1,34,6
placement,complex,1,a,1,1,1,1,1,1,35,6
placement,complex,1,b,1,1,1,1,1,1,136,6
placement,complex,10,a,1,1,1,1,1,1,34,6
placement,complex,10,b,1,1,1,1,1,1,131,6
placement,complex,2,a,1,1,1,1,1,1,39,6
placement,complex,2,b,1,1,1,1,1,1,271,6
placement,complex,3,a,1,1,1,1,1,1,68,6
placement,complex,3,b,1,1,1,1,1,1,95,6
placement,complex,4,a,1,1,1,1,1,1,33,6
placement,complex,4,b,1,1,1,1,1,1,72,6
placement,complex,5,a,1,1,1,1,1,1,47,6
placement,complex,5,b,1,1,1,1,1,1,74,6
placement,complex,6,a,1,1,1,1,1,1,64,6
placement,complex,6,b,1,1,1,1,1,1,74,6
placement,complex,7,a,1,1,1,1,1,1,44,6
placement,complex,7,b,1,1,1,1,1,1,116,6
placement,complex,8,a,1,1,1,1,1,1,47,6
placement,complex,8,b,1,1,1,1,1,1,79,6
placement,complex,9,a,1,1,1,1,1,1,54,6
placement,complex,9,b,1,1,1,1,1,1,190,6
placement,simple,1,a,1,1,1,1,1,1,79,6
placement,simple,1,b,1,1,1,1,1,1,137,6
placement,simple,10,a,1,1,1,1,1,1,38,6
placement,simple,10,b,1,1,1,1,1,1,37,6
placement,simple,2,a,1,1,1,1,1,1,60,6
placement,simple,2,b,1,1,1,1,1,1,58,6
placement,simple,3,a,1,1,1,1,1,1,73,6
placement,simple,3,b,1,1,1,1,1,1,66,6
placement,simple,4,a,1,1,1,1,1,1,72,6
placement,simple,4,b,1,1,1,1,1,1,72,6
placement,simple,5,a,1,1,1,1,1,1,34,6
placement,simple,5,b,1,1,1,1,1,1,40,6
placement,simple,6,a,1,1,1,1,1,1,54,6
placement,simple,6,b,1,1,1,1,1,1,46,6
placement,simple,7,a,1,1,1,1,1,1,32,6
placement,simple,7,b,1,1,1,1,1,1,33,6
placement,simple,8,a,1,1,1,1,1,1,35,6
placement,simple,8,b,1,1,1,1,1,1,42,6
placement,simple,9,a,1,1,1,1,1,1,36,6
placement,simple,9,b,1,1,1,1,1,1,37,6
